Jul  5 07:09:08 YouBuy2 postfix/smtpd[26891]: 9458714769F: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:09:31 YouBuy2 postfix/smtpd[26891]: 5B7C21476D9: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:09:42 YouBuy2 postfix/smtpd[26891]: B57A11476DB: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:09:55 YouBuy2 postfix/smtpd[26891]: A68521476DD: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:10:08 YouBuy2 postfix/smtpd[26891]: 03C821476DF: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:10:25 YouBuy2 postfix/smtpd[26891]: 473C61476E1: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:10:44 YouBuy2 postfix/smtpd[26891]: 80FBC1476E3: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:11:05 YouBuy2 postfix/smtpd[26891]: 805801476E5: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:11:21 YouBuy2 postfix/smtpd[26891]: 8C3831476E7: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:11:39 YouBuy2 postfix/smtpd[26891]: AA1DD1476E9: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:11:58 YouBuy2 postfix/smtpd[26891]: E69B91476EB: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:12:08 YouBuy2 postfix/smtpd[26891]: 624EA1476EC: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:12:27 YouBuy2 postfix/smtpd[26891]: 6005B1476EE: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:12:48 YouBuy2 postfix/smtpd[26891]: 67E4F1476F1: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:13:12 YouBuy2 postfix/smtpd[26891]: DD1B51476F3: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:13:28 YouBuy2 postfix/smtpd[26891]: 8CDAC1476F4: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:13:44 YouBuy2 postfix/smtpd[26891]: E5B5B1476A0: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:14:07 YouBuy2 postfix/smtpd[26891]: DD68C1476F5: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:14:09 YouBuy2 postfix/smtpd[26955]: 746C91476F6: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:14:24 YouBuy2 postfix/smtpd[26955]: 4B61B1476F9: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:14:25 YouBuy2 postfix/smtpd[26891]: 3CD911476FA: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:14:39 YouBuy2 postfix/smtpd[26955]: 3CF991476FD: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:14:42 YouBuy2 postfix/smtpd[26891]: 351C91476FE: client=unknown[124.194.80.227], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:15:12 YouBuy2 postfix/smtpd[26955]: C89D2147701: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:15:31 YouBuy2 postfix/smtpd[26955]: 4D70E147703: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:15:47 YouBuy2 postfix/smtpd[26955]: A11B6147706: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:16:06 YouBuy2 postfix/smtpd[26955]: 7AE0B147707: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
Jul  5 07:16:30 YouBuy2 postfix/smtpd[26955]: 8E2E514770A: client=unknown[118.121.38.90], sasl_method=PLAIN, sasl_username=ventas@youbuy.mx
